"if_you_experience_symptoms_of_warning_signs,_which_specialist_would_you_consult?",do_you_know_what_is_a_brain_stroke?,how_soon_would_you_consult_a_specialist_after_experiencing_the_first_symptom?,"do_you_think_sudden_confusion_,trouble_speaking_or_understanding_speech_is_a_stroke_symptom?","do_you_think_sudden_numbness_or_weakness_of_face,_arm_or_leg_is_a_symptom_of_stroke?",do_you_think_sudden_nosebleed_is_a_stroke_of_symptom?,do_you_think_trouble_seeing_in_one_or_both_the_eyes_is_a_stroke_symptom?,age,gender,educational_level,salary,first_contact_after_experiencing_symptom,how_soon_treatment_should_be_taken_after_noticing_symptoms,where_to_go_after_experiencing_symptoms_of_brain_stroke,stroke_symptoms,risk_factors,what_advice_would_you_give_for_someone_experiencing_stroke_symptoms,score_specialist,score_know_stroke,score_action_first_symptom,score_confusion,score_numbness,score_nosebleed,score_vision,score_first_contact,score_urgency,score_location,score_symptoms,score_risk,score_advice,total_raw_score,awareness_score,awareness_category
Neurologist,Yes,Other,maybe,yes,yes,yes,41-60,Male,other,"above 8,00,000",emergency_services,no_response,Unknown /No Response,no_response,other,seek_medical_help,4,1,0,0,1,0,1,4,0,0,0,0,0,44,3.79,Low Awareness
Neurologist,No,Immediately,yes,maybe,maybe,maybe,41-60,Female,other,"6,00,001 - 8,00,000",hospital,immediately,hospital_or_medical_centre,no_response,Unaware,other,4,0,2,1,0,1,0,3,2,3,0,0,0,65,5.6,Low Awareness
Neurologist,Yes,Within a week,yes,yes,yes,yes,41-60,Male,other,"above 8,00,000",no_response,no_response,Unknown /No Response,no_response,Unaware,no_response,4,1,0,1,1,0,1,0,0,0,0,0,0,29,2.5,Low Awareness
Neurologist,Yes,Immediately,maybe,maybe,maybe,maybe,41-60,Female,speciality,"4,00,001 - 6,00,000",hospital,immediately,other,headache,other,seek_medical_help,4,1,2,0,0,1,0,3,2,0,0,0,0,50,4.31,Low Awareness
Neurologist,Maybe,Immediately,yes,yes,yes,yes,26-40,Female,speciality,"4,00,001 - 6,00,000",doctor,after_few_days_(2-3days_or_week),doctor_or_specialist,"paralysis_or_weakness,vision_problems",Unaware,other,4,0,2,1,1,0,1,0,0,0,2,0,0,36,3.1,Low Awareness
Neurologist,Yes,Immediately,yes,yes,maybe,maybe,26-40,Female,high school,"6,00,001 - 8,00,000",emergency_services,no_response,emergency_services,speech_or_confusion,"blood_pressure_or_heart_problem, diabetes_or_obesity",other,4,1,2,1,1,1,0,4,0,4,1,1,0,81,6.98,Moderate Awareness
Neurologist,No,Other,maybe,maybe,maybe,maybe,15-25,Female,graduate,"below 2,00,000",unaware,unaware,emergency_services,no_response,Unaware,other,4,0,0,0,0,1,0,0,0,4,0,0,0,34,2.93,Low Awareness
Physician,No,Immediately,maybe,yes,maybe,maybe,15-25,Female,undergraduate,"below 2,00,000",doctor,immediately,Unknown /No Response,no_response,Unaware,no_response,0,0,2,0,1,1,0,0,2,0,0,0,0,23,1.98,Low Awareness
Physician,Maybe,Immediately,maybe,maybe,yes,maybe,15-25,Female,undergraduate,not_specified,no_response,no_response,Unknown /No Response,"paralysis_or_weakness,headache",Unaware,no_response,0,0,2,0,0,0,0,0,0,0,1,0,0,9,0.78,Low Awareness
Physician,No,Immediately,no,no,no,no,15-25,Female,other,"below 2,00,000",doctor,unaware,doctor_or_specialist,no_response,other,other,0,0,2,0,0,2,0,0,0,0,0,0,0,10,0.86,Low Awareness
